fiscal_year,snapshot_type,is_actual,type,type_name,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_family,source_report_fiscal_year,source_report_quarter,source_file_names
2009,historic,f,EB1,First Preference,17238,13546,3630,62,0.78582202111613876320,0.21058127392969021928,0.78865859338612016768,0.21134140661387983232,0.00359670495417101752,preference_country,2019,4,I140_by_class_country_FY09_19.pdf
2009,historic,f,EB2,Second Preference,19715,18270,1341,104,0.92670555414658889171,0.06801927466396145067,0.93162000917852225792,0.06837999082147774208,0.00527517118944965762,preference_country,2019,4,I140_by_class_country_FY09_19.pdf
2009,historic,f,TOTAL,Total,57034,48375,8043,616,0.84817827962268120770,0.14102114528176175615,0.85743911517600765713,0.14256088482399234287,0.01080057509555703615,preference_country,2019,4,I140_by_class_country_FY09_19.pdf
2010,historic,f,EB1,First Preference,17596,14269,3251,76,0.81092293703114344169,0.18475789952261877699,0.81444063926940639269,0.18555936073059360731,0.00431916344623778131,preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf
2010,historic,f,EB2,Second Preference,38398,35907,2317,174,0.93512682952237095682,0.06034168446273243398,0.93938363331938049393,0.06061636668061950607,0.00453148601489660920,preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf
2010,historic,f,TOTAL,Total,79639,70397,8546,696,0.88395133037833222416,0.10730923291352226924,0.89174467653876847852,0.10825532346123152148,0.00873943670814550660,preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf
2011,historic,f,EB1,First Preference,17109,13972,2987,150,0.81664620959728797709,0.17458647495470220352,0.82386933191815555162,0.17613066808184444838,0.00876731544800981939,preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf
2011,historic,f,EB2,Second Preference,47384,43675,3481,228,0.92172463278743879791,0.07346361641060273510,0.92618118585121723641,0.07381881414878276359,0.00481175080195846699,preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf
2011,historic,f,TOTAL,Total,84628,74646,9300,682,0.88204849458807959541,0.10989270690551590490,0.88921449503252090630,0.11078550496747909370,0.00805879850640449969,preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf
2012,historic,f,EB1,First Preference,17611,14991,2477,143,0.85122934529555391517,0.14065072965760036341,0.85819784749255782001,0.14180215250744217999,0.00811992504684572142,preference_country,2022,2,I140_rec_by_class_country_FY2022_Q1_Q2.csv
